"subject","Mean.PApleas","Mean.PAunpleas","SD_eval","Diff_eval","d_eval","rel_evalD1","rel_evalD2","Mean.PA.self","Mean.PA.other","SD_id","Diff_id","d_id","rel_idD1","rel_idD2"
380764413,1244.68166666667,1919.165,733.572385083342,674.483333333334,0.919450277911845,0.990509225563055,0.869522022327429,1295.405,1655.235,633.374433524133,359.83,0.568115763684815,0.686070935011656,0.455713592870776
396242749,1075.33166666667,1423.04166666667,510.917126423483,347.71,0.680560470607114,0.537251645707719,0.809297281353078,944.956666666667,892.146666666667,333.619546306674,-52.8099999999999,-0.158294082539922,-0.384945280784966,0.0470799428682965
396425526,590.328333333333,412.048333333333,365.745134934549,-178.28,-0.487443257534796,-0.3099082412257,-0.676939819645741,705.063333333333,819.57,354.355562860204,114.506666666667,0.323140592862205,0.0950938298645043,0.532961658565883
399359294,943.233333333333,1447.3,453.42547131719,504.066666666667,1.11168581950715,1.13808297866641,1.05004017139911,1238.14833333333,922.928333333333,435.585618590937,-315.22,-0.723669438444033,-0.641509802029229,-0.858324277261726
399607652,1394.535,1916.36833333333,648.216892582361,521.833333333333,0.805028902061559,0.964404234860272,0.634546583659611,1179.60666666667,1363.86,394.892738406189,184.253333333333,0.466590836987763,0.435735700790179,0.488302016851293
408972941,1177.60666666667,1657.33,439.830293854524,479.723333333333,1.09070098180187,1.38936933047186,0.868980925542627,1272.72166666667,2035.09166666667,759.125578758172,762.37,1.00427389266363,1.07977132253361,0.932191452131962
420642403,1397.98333333333,2160.61666666667,747.459598750799,762.633333333333,1.02030040768477,1.25696124088851,0.867369825044443,1547.7,1183.97666666667,611.585702739623,-363.723333333333,-0.594721772768755,-0.401946017558193,-0.777707191330529
423104155,1218.875,1297.84833333333,323.864988776469,78.9733333333334,0.243846467108677,-0.144143370407855,0.616766349799348,1201.295,972.565,324.790992806764,-228.73,-0.704237509862486,-0.851840042592091,-0.557618805786414
427242008,889.09,1313.05,384.422883525618,423.96,1.10284797853806,1.26199152248875,0.944741366798871,916.073333333333,880.313333333333,239.414703582125,-35.76,-0.149364259859393,-0.188408937640451,-0.11820545644986
428311048,1464.87666666667,2067.12,701.99626109078,602.243333333334,0.857901055480769,0.753388306155362,0.972546660680386,1466.89,1170.43666666667,406.864630499901,-296.453333333333,-0.728628912690423,-0.782225025874556,-0.631738484092723
431866483,1212.94166666667,1849.90166666667,580.466851112875,636.96,1.09732364351007,0.976507439937352,1.21911570411807,1156.21,994.193333333333,330.559600388438,-162.016666666667,-0.490128456339741,-0.603871919622597,-0.355308475657468
434074679,1494.15333333333,1865.43666666667,516.571408886508,371.283333333333,0.718745418244596,0.663336381961458,0.780859450464166,2206.87666666667,1338.95,699.990413491779,-867.926666666667,-1.23991221870763,-1.09504429222599,-1.39659151951557
434925468,3776.29833333333,3610.445,4055.55134448596,-165.853333333333,-0.0408953849293098,-0.398965569527667,0.373838635742508,2040.29166666667,2774.07833333333,2150.53023559933,733.786666666667,0.341211973921478,0.275781435443999,0.41444860513139
440641658,1094.19666666667,1593.59,489.419314597821,499.393333333333,1.02037929120903,1.00199451732206,1.03375750298881,1008.61333333333,1253.86666666667,438.076662336667,245.253333333333,0.559841129233343,0.402525068324961,0.782184590442561
453132954,1076.32,1272.05,335.195076940342,195.73,0.583928623852778,0.832097277747573,0.385128228151657,956.926666666667,1244.68666666667,421.511449196723,287.76,0.682686082545056,0.657068097791084,0.73670553356406
455278389,910.453333333333,1568.04666666667,460.579904289467,657.593333333334,1.42775081415634,1.48015626686936,1.36580034073935,1141.82,950.956666666667,324.671194288253,-190.863333333333,-0.587866545265113,-0.619241692455059,-0.565287411229521
458761437,1713.56666666667,2723.96666666667,1383.21548861889,1010.4,0.730471866685693,0.667123088111699,0.830271238314103,2607.32333333333,4140.06333333333,2243.35555545493,1532.74,0.683235431081355,0.596746028772034,0.743826567720692
459217101,988.433333333333,1634.18333333333,557.215553479276,645.75,1.15888724923041,1.21168863284387,1.06028204636899,1063.19,915.583333333333,358.370955862222,-147.606666666667,-0.411882336590399,-0.697939748136009,-0.144015613622994
462487730,1133.09166666667,1862.74833333333,785.696055116233,729.656666666667,0.928675487060609,0.633172841460016,1.2828872847849,1179.39666666667,1278.52666666667,487.413576081401,99.1299999999999,0.20337964485307,0.521725692054016,-0.0161908193221609
463280108,876.703333333333,1182.89333333333,338.525597503743,306.19,0.904481085796222,0.867078442412923,0.939208743801648,935.636666666667,1059.23666666667,361.368432753162,123.6,0.342033196033,0.381644776885907,0.301107822200674
469614203,996.89,1457.45,430.052988839845,460.56,1.07093779592709,0.907232213854113,1.24577810143465,1060.74333333333,942.54,269.175230041301,-118.203333333333,-0.439131540131672,-0.654767869433284,-0.241231429528997
475846913,1787.85666666667,2766.91666666667,988.602839503565,979.060000000001,0.990347145362888,0.744816394788513,1.18865643686774,1304.57,1627.97,459.165874460317,323.4,0.704320634411497,0.920138745410835,0.511111806774273
478026924,1029.05333333333,1879.35333333333,586.249041343515,850.3,1.4504074890278,1.4244489030732,1.46997197411763,1069.18166666667,1667.41166666667,620.130350072654,598.23,0.96468427957108,0.872365403104683,1.0381472331707
479382599,1438.21666666667,1515.25,373.729269587998,77.0333333333333,0.206120685752698,0.286686727045425,0.14255511202056,1247.335,1393.265,520.601790109817,145.93,0.280310215547313,0.130420180742069,0.410455856685495
485597626,934.453333333333,1272.23666666667,336.014847073432,337.783333333334,1.00526311939875,1.08799259056886,0.910395828643728,923.646666666667,876.096666666667,222.431256941163,-47.5500000000001,-0.213773912236524,0.0674399548508563,-0.491591392752178
486060699,1589.03333333333,1993.09666666667,658.921443992333,404.063333333333,0.613219279805431,0.38634788386178,0.877797324563777,1696.34333333333,1228,495.764114955763,-468.343333333333,-0.944689861982293,-0.909445330226203,-0.969722332930415
486700234,1374.42166666667,2085.015,1111.79066813186,710.593333333333,0.639143099237682,0.531053547842881,0.853779323195113,1384.17666666667,1235.31333333333,741.29990753808,-148.863333333333,-0.200813910563838,-0.0360505571937338,-0.410430305768362
493514326,1548.26666666667,2128.61333333333,744.880845290489,580.346666666667,0.779113425101358,0.579192101589379,0.961895787496249,1647.54666666667,1767.11333333333,669.402088735434,119.566666666667,0.178617110222258,0.385335548820746,-0.0150293309017001
496959693,1457.28166666667,1491.01166666667,419.850350476832,33.73,0.0803381489659167,-0.0496696264433592,0.172147988520471,1598.95,1135.97333333333,587.665008500325,-462.976666666667,-0.787824117430689,-1.00049525423098,-0.546120917199453
502642578,1219.35833333333,1703.06166666667,465.767857098236,483.703333333333,1.03850732926664,0.935428584614428,1.12968158456611,1050.51166666667,1134.72833333333,271.558905691756,84.2166666666667,0.310123015307258,-0.140998228260373,0.796320044502452
504702409,1049.20833333333,1392.885,445.890982443119,343.676666666667,0.770763886687277,0.861792847911839,0.665504861154305,901.113333333333,1097.35,306.752396245312,196.236666666667,0.63972333735165,0.627655500086788,0.710884132798261
509379442,1095.80333333333,1935.96,625.670032238157,840.156666666667,1.34281110389968,1.46181056289765,1.213205402393,1193.83666666667,1404.51333333333,425.359445477755,210.676666666667,0.495290909621248,0.250162737969407,0.753657097780968
519941136,995.26,1372.24666666667,521.29642351091,376.986666666667,0.723171404337818,1.01727958279798,0.247079746539524,931.903333333333,1060.98,530.105516939445,129.076666666667,0.243492403949856,0.22715250789945,0.255217385089077
526308818,936.4,1375.57666666667,653.13298595442,439.176666666667,0.67241538264202,0.474962783930529,0.911168541619196,1732.13333333333,1477.96666666667,872.830225485466,-254.166666666667,-0.291198287187293,-0.329967199234508,-0.247288947236498
528769494,989.646666666667,1183.65,273.709618558275,194.003333333333,0.708792531132874,0.75844070809739,0.665635923440052,805.425,921.758333333333,207.290192231852,116.333333333333,0.561210021954225,0.557341074783548,0.560534703604258
535649520,1113.26666666667,1425.04,405.308764744499,311.773333333333,0.769224256795609,0.931527780077756,0.625483262207952,981.073333333333,944.346666666667,196.86381053703,-36.7266666666667,-0.186558751283331,-0.427562891995016,-0.0937096531351481
549116916,1054.31833333333,1326.70833333333,408.225528566832,272.39,0.667253713789744,0.755262313695108,0.607182862255345,1060.33833333333,1051.91166666667,341.625035060125,-8.42666666666673,-0.0246664202030266,0.0231091695375082,-0.0964534316139154
